x,y
80.28,329.12
69.01,284.04
65.03,268.12
67.99,279.96
69.19,284.76
70.95,291.8
85.59,350.36
77,316
85.78,351.12
68.71,282.84
85.94,351.76
1.07,12.28
80.35,329.4
59.32,245.28
41.52,174.08
83.3,341.2
51.2,212.8
98.3,401.2
49.63,206.52
76.88,315.52
11.66,54.64
48.21,200.84
67.3,277.2
79.32,325.28
13.19,60.76
63.57,262.28
25.92,111.68
25.76,111.04
79.82,327.28
93.45,381.8
68.52,282.08
14.66,66.64
19.19,84.76
43.97,183.88
67.39,277.56
32.96,139.84
79.64,326.56
20.82,91.28
78.93,323.72
79.46,325.84
78.66,322.64
27.41,117.64
35.16,148.64
21.16,92.64
1.38,13.52
11.99,55.96
35.23,148.92
26.81,115.24
31.16,132.64
67.5,278
13.64,62.56
27.28,117.12
94.73,386.92
4.59,26.36
57.04,236.16
9.54,46.16
47.3,197.2
90.47,369.88
24.92,107.68
44.77,187.08
65.31,269.24
73,300
19.4,85.6
30.47,129.88
38.12,160.48
66.74,274.96
82.66,338.64
44.74,186.96
7.88,39.52
89.46,365.84
38.29,161.16
32.63,138.52
49.53,206.12
56.86,235.44
61.86,255.44
83.01,340.04
0.74,10.96
27.17,116.68
48.8,203.2
85.78,351.12
49.1,204.4
42.05,176.2
59.22,244.88
84.52,346.08
94.14,384.56
3.42,21.68
64.2,264.8
88.91,363.64
97.96,399.84
67.57,278.28
33.98,143.92
11.17,52.68
72.41,297.64
30.18,128.72
43.88,183.52
34.3,145.2
49.94,207.76
43.47,181.88
6.49,33.96
81.52,334.08
71.99,295.96
72.18,296.72
65.5,270
15.1,68.4
22.46,97.84
80.9,331.6
6.66,34.64
6.43,33.72
83.51,342.04
49.11,204.44
84.66,346.64
68.27,281.08
11.71,54.84
7.26,37.04
40.22,168.88
72.77,299.08
61.07,252.28
48.65,202.6
31.2,132.8
25.29,109.16
1.21,12.84
69.19,284.76
65.2,268.8
47.14,196.56
31.65,134.6
78.42,321.68
41.91,175.64
17.51,78.04
13.79,63.16
42.32,177.28
19.87,87.48
97.57,398.28
24.38,105.52
54.04,224.16
39.9,167.6
7.49,37.96
90.82,371.28
77.87,319.48
68.17,280.68
